Q4,Q4_delta_c_prediction,delta_c,epsilon,physical_epsilon_V4_shift
0.014063828174045103,-0.0011251062539236083,-0.080000000000000002,-0.080000000000000002,-0.0011251062539236083
0.014063828174045103,-0.00056255312696180417,-0.040000000000000001,-0.040000000000000001,-0.00056255312696180417
0.014063828174045103,-0.00028127656348090208,-0.02,-0.02,-0.00028127656348090208
0.014063828174045103,-0.00014063828174045104,-0.01,-0.01,-0.00014063828174045104
0.014063828174045103,-7.0319140870225521e-05,-0.0050000000000000001,-0.0050000000000000001,-7.0319140870225521e-05
0.014063828174045103,-3.515957043511276e-05,-0.0025000000000000001,-0.0025000000000000001,-3.515957043511276e-05
0.014063828174045103,3.515957043511276e-05,0.0025000000000000001,0.0025000000000000001,3.515957043511276e-05
0.014063828174045103,7.0319140870225521e-05,0.0050000000000000001,0.0050000000000000001,7.0319140870225521e-05
0.014063828174045103,0.00014063828174045104,0.01,0.01,0.00014063828174045104
0.014063828174045103,0.00028127656348090208,0.02,0.02,0.00028127656348090208
0.014063828174045103,0.00056255312696180417,0.040000000000000001,0.040000000000000001,0.00056255312696180417
0.014063828174045103,0.0011251062539236083,0.080000000000000002,0.080000000000000002,0.0011251062539236083
